18
2000
p_lm,p_nn,p_dnn,p_dnn2
0.7403629131553675,3.0330692996259084e-16,3.898088944108863e-15,2.4908390946145704e-14
0.3360469100026504,0.00017934469036941263,0.000342464111077802,0.6488958153255
0.02419591791822348,1.2266075892480463e-06,4.7682141565942805e-06,0.7925396315201196
0.4578495601154253,4.167089801510741e-11,4.731688889134297e-10,1.2200301831423555e-09
0.4008842828557284,2.1639579731562874e-14,6.232455898046785e-13,2.7983687563094385e-08
0.30801124444351663,5.061124875787402e-07,7.885160945215271e-06,0.4894449117425408
0.8074145324476649,1.2142272448385665e-13,2.957106916867245e-13,1.3127726952840587e-09
0.23721283972558843,2.0131168628874964e-05,0.00015965869923456654,0.3854865153324385
0.36538843795389486,2.340070798272431e-12,4.2905826830040297e-11,1.3466053095390145e-09
0.4909533561842544,5.592992118596001e-07,6.350973289206488e-06,0.9420118107012496
0.875971810532874,2.78869794543434e-05,0.00014924097089488074,0.0002355237486102812
0.5334612747147067,3.284779949727192e-06,1.4843121391907024e-05,3.178184573495748e-05
0.26406552718421256,6.101941568429879e-11,2.700389278108375e-10,1.0873507901011189e-09
0.9006486247820316,1.9079568380484084e-08,1.2940871593605877e-07,6.727340508882563e-07
0.5156808049509807,5.006167284804117e-10,2.171982715182965e-09,7.679078107822978e-09
0.4731141024843679,1.8910911442788598e-10,1.0410857028962263e-09,9.146032443537194e-08
0.11604930600845108,3.0404995794936784e-12,5.990726008683081e-11,2.382961614272897e-09
0.9144875526115179,1.9339410407733768e-09,5.606067522442735e-09,1.552772135964482e-08
0.5544079359368461,1.225891128142809e-07,7.86555512811911e-07,0.0879530008169716
0.9338568067656481,2.1126951317590926e-09,1.4757368447338016e-08,2.9218240680784118e-08
0.36579992720549304,1.167738214840169e-07,3.0906802257225586e-07,2.8608703549086523e-06
0.021602761902277084,1.7803792089337668e-05,4.3665896061392196e-05,0.00015075259996629375
0.642141315833738,3.0525396614883666e-05,8.792887111988582e-05,0.4280744863017162
0.835250226382187,2.6957117170851636e-08,3.990250406646807e-07,0.32083850574408523
0.04204723917164617,1.8362490038810547e-09,1.8729618397172677e-08,1.2623196455382068e-07
0.4371384536458327,2.724965538478199e-10,3.691636644383447e-09,4.919412883123291e-07
