P_value_shallow,P_value_dnn1,P_value_dnn2
0.0 0.31290840411782667,9.538060253459485e-33 1.0,1.0 0.0
4.888190631517177e-25 0.0,0.0 0.0,1.0 4.7697364708330385e-143
1.0 0.06405882458210459,0.05144626445048628 0.6844757821252767,1.479315070817426e-10 4.342434573187223e-268
0.0 0.8374692449403344,0.4909200778971827 4.553879166163187e-60,0.029885786951165783 0.06656923112052979
1.0 1.0,1.0 7.630505363141313e-75,1.2818795368847987e-13 0.0
2.1345897337941787e-25 0.0,0.0012607578360002405 0.06422117178083823,4.92313835263474e-09 4.0388558172077724e-226
1.1409994797395357e-138 0.006926993461378454,3.627997181910589e-28 0.18197690841399783,1.0 0.0
0.022230290493780964 0.0,1.0 0.0059158998979612345,1.0 0.0
0.47035063065050864 0.0,1.0 1.4126368068998509e-123,1.5163147491825913e-10 6.444584869556788e-125
0.0 3.207595805706757e-240,3.132898146954429e-10 1.0607962859310769e-11,1.4992439211886147e-75 1.1129739984495732e-82
0.6892192928819802 0.0,3.313972156709442e-68 0.0,1.0 0.0
9.690134587820474e-64 0.0,0.5735282295858144 0.6982578424040832,4.11790170726686e-06 4.575306248221063e-127
1.0 0.6207300204065997,0.2706120740949602 0.0,1.3411210149994504e-128 0.014735455268801325
1.0 0.0,1.0 1.0,1.0 0.0
0.0 8.608068521114571e-147,1.0 0.5670765476112756,0.0 0.0
1.0 1.7109905295788652e-65,0.1932866874835374 1.0,0.9186961182913433 1.0
1.0 0.275207162430955,1.0 0.5568609047300221,1.0 2.1450630429078413e-115
0.778786322439817 0.8111740577669229,0.19498006751593455 0.0,0.597678755457145 1.0
1.0 0.0,0.14592104255042504 0.440107648000582,0.7133464602915027 1.0
0.4117919396846368 0.11068118445220942,0.4788392786576258 0.169664333214506,0.8954558851109206 1.0
0.749868326387205 1.0,1.0 0.98941451777196,0.06414559260644807 0.0
1.0 0.6164703999561345,1.0 0.0,1.0 0.13259146156855797
0.0032077975274966714 0.0,1.0 0.6028533500977633,1.0 0.0
1.0 0.3549638413045126,0.2235043654033176 1.0364926305814262e-07,1.0 1.0
1.0 0.40354356128769003,0.7153008609219991 0.3074488203664065,0.36977158348422495 0.0006941839706133207
1.0 4.829387399922432e-142,1.0 0.0015871347293459517,1.0 0.5929854328595028
1.0 0.9148938160007758,0.34908163494664113 0.9348627014039583,0.45213264119898855 0.39206674804931
0.769322947476719 0.0,0.810631137240978 0.05671693399957961,0.31050812234957453 0.6426127542645341
1.0 0.6096813038838411,0.4260680502581665 0.8954261069433223,1.0 1.0
0.47802585210595594 0.5194065610458594,0.0470996227298806 1.0,0.6589115625452927 0.6535715234649562
1.0 1.0,0.30752926559707366 0.0025334454331870032,0.038349808195125484 1.0
1.0 0.7474579575286283,1.0 0.2748609059115372,1.0 1.0
1.0 0.0,0.0038837307603709265 0.0,1.0 0.8224857082971678
0.0 0.6491772475515281,0.971195035628112 1.0,0.10604741698301454 0.4730988897829499
1.0 0.034143980050792166,0.0 1.0,1.0 0.5966005048871051
1.0 0.32177021539831185,1.0 0.6122622525366517,6.89730211095055e-284 0.014152376017682742
1.0 0.3054085068343636,1.0 0.0636222191996716,1.0006330708539486e-266 0.0
1.0 0.694903319490648,0.41960686982578965 0.5134226475053016,1.0 0.0
1.0 0.0,0.2453912640928148 0.0,4.2732690570719506e-210 0.0
0.8287230981536378 1.0,1.0 0.5324384001190615,3.8731331009302216e-264 1.6724520774158374e-94
1.0 0.49611079615930337,1.0 0.5857064543485294,0.5526965693237484 1.0
3.737698767388724e-06 4.179122529271073e-235,1.0 1.0,1.0 0.0
1.0 1.0,1.0 0.0014625298507878286,0.2894268524790163 0.0
1.0 0.08329472396304682,0.17840234834146673 0.0,1.0 0.0
0.1774194632206246 1.0,1.0 1.0,0.11969130682961673 1.0
1.0 0.7584430318470528,1.0 0.012332216244278108,1.0 0.0
1.0 0.6257520385669489,1.0 1.0,0.18756194949693586 1.0
1.0 1.0,0.00528524767182849 0.0,1.0 0.4975578139636991
0.7786967120962085 0.32870522254452494,1.0 8.38813080188754e-288,0.1488000765405863 1.0
8.491946079894255e-25 0.36245005008841796,1.0 0.0,1.0 0.0
0.3114273535363658 0.10688162599282759,1.2863715364542696e-71 0.9139956536536589,8.177157622329969e-81 0.0
5.380858624470068e-21 0.0,1.0 0.0,0.337929037964108 0.0
2.2034668476582927e-14 0.0,1.0 0.0,0.0 0.0
1.0 0.0,0.0 0.0,1.0 0.6485624070824518
