P_value_shallow,P_value_dnn1,P_value_dnn2
0.2740210846453543 0.8463418762090654,1.0 1.0,0.8628844605034833 0.1320520891465006
0.5550382801284983 0.3062840615423637,0.15344918147467015 0.08421193967609283,0.7781278264033411 1.0
1.0 0.10558824244190444,1.0 1.0,0.14929600597956932 0.45147844145897803
0.0576346561287762 1.0,1.0 0.7636931388140038,0.8397302090173734 1.0
1.0 1.0,0.876293873912152 0.01753796758452999,1.0 0.4727877146636748
0.658288308420569 0.369217178470387,1.0 0.759743680083206,1.0 0.7601194459197353
1.0 1.0,1.0 0.8511537609985944,0.958161377716083 1.0
1.0 1.0,1.0 1.0,1.0 1.0
0.25229055720189075 0.9153927569927904,1.0 1.0,1.0 0.2448893184165158
0.4342892612597899 0.8464807418230422,1.0 1.0,1.0 3.5163731342046754e-06
0.5930735914349579 0.49208955851643515,1.0 0.6716599623339816,0.06440309788565211 0.27196715002848726
1.0 0.8584752679151177,1.0 1.0,0.6793422126184728 0.8548547519165877
0.14269962174042247 0.9470978020279602,1.0 0.40152013791296326,1.0 0.26875446888296256
0.3647643165969364 0.4347682862748218,5.91252883071862e-13 0.04571747674378736,0.10286462726636825 0.2950006331289662
0.8037443830220273 0.9270264458255606,1.0 1.0,1.0 1.0
0.2463933930523607 0.24895865340511544,1.0 8.476944878607609e-07,1.0 0.13181033497387787
1.0 0.0912063129843226,0.19603616023949472 0.033286294795258235,0.6583505721865669 1.0
1.0 1.0,1.0 0.0889426479332833,0.4298941365814927 1.0
0.7571787033732431 0.33943118953319923,1.0 0.15940212361122397,1.0 0.7747804756483369
0.9059815985257121 0.687404746813304,1.0 0.9715288271945004,0.44674689489549474 1.0
0.0864041174741806 0.7446940139678422,0.00044914598459053613 1.0,0.9228264759633077 0.035615335511149454
1.0 0.7545374090811583,1.0 1.6137105072922706e-13,0.6754465047499503 1.0
0.6348027847633826 0.3821856949716122,1.0 1.0,0.30352758013111947 0.2701197827646107
1.0 0.00020730201423962763,1.0 1.3128212972913507e-10,1.0 1.0
0.8858328182041459 0.9839942630427486,0.7373602524863199 2.6370263933987142e-21,0.8355429202159386 1.0
0.49686029692681044 1.0,0.06741422831536237 0.8064423105207258,0.940843259190623 1.0
0.019810468413929038 0.3815828373134683,1.0 0.2783514221101363,0.002660631142066775 0.03635870962053772
0.9076863161020046 0.8209058222452991,0.0003842713061661444 1.0,0.020670434089271016 0.7537047385599194
1.0 5.138716046283335e-06,0.05383164158973781 0.47168504857828364,1.0 0.9057465335600148
1.0 0.018459503667155056,0.18634789115663686 1.0,1.0 1.0
0.2212735562831244 0.10951479793358655,1.0 2.4784499819370876e-07,1.0 1.0
1.0 0.9287158676964848,1.0 0.1088045277660242,0.33555892463198067 0.9490808895137792
0.7431763795376483 0.5799295565551352,1.0 0.04757860380327934,1.0 0.2686072448213416
0.007497981636264939 1.0,1.0 0.771559381688181,1.0 1.0
1.0 0.0667274727620053,1.6561675328658653e-13 9.033387155682374e-13,1.0 1.0
1.0 1.0,1.0 0.8257021878837069,1.0 0.8291175394461483
0.17046603268477156 6.861229611162239e-05,1.0 0.6232360235804897,0.6006919389053651 0.37437532652901484
4.558365980294141e-07 1.0,0.12498662644017139 0.6926032928938513,0.3244525341366967 0.8920184111051568
1.0 1.0,1.0 0.2487088245416913,1.0 0.9296237246108012
0.4244831976298803 0.6451477402283983,1.0 1.4002715878486064e-13,0.9090465327240695 1.0
0.30962698720041626 0.027722893853738644,1.0 1.0,0.17479181226420074 1.0
0.5308676510631711 0.5452786704585975,0.5561945925144249 0.15324196571735638,0.6186525886910812 0.8437810215512815
0.6290517519078362 0.5545620371658635,0.046500325556075695 0.18104681416923124,1.0 0.6967182245618249
0.17221574685644728 0.1780363849927748,0.46801712464210576 0.13567950359982336,0.6589993644500545 1.0
0.16024144106482863 0.42511149356748956,1.3928110189062101e-05 2.4422361228327108e-24,1.0 0.005526839238370145
0.6985901124425284 0.41075478945352717,0.12894014896707437 0.0014435570729225047,0.05041997332650951 1.0
0.8715776659389957 1.0,0.6128561135235686 1.0,0.6580328529307038 0.3611175094869882
1.0 0.08281080464601269,1.0 2.7076487698339787e-14,0.10631824658785918 0.46643085723493166
0.5805119111953367 1.0,1.0 1.0,1.0 0.04541588915243591
1.0 1.0,0.7511599957408912 0.8741387723157813,0.31599634388287096 0.7962524870005341
1.0 0.25322061645271926,1.0 1.1636054220367135e-15,1.0 1.0
3.9296208398308977e-05 1.6557806042219746e-19,0.8286168204122347 0.0714145690394757,0.7010009577807456 0.0023923644876570537
0.13972193997942212 1.0,1.0 0.9667303267959491,0.9059534204480391 0.25378617271261805
1.0 0.23443103816466251,0.8638701727234431 0.12360528655528304,0.9596966075883053 1.0
1.0 0.4003248262248103,0.0012998465778924849 7.280224537005054e-26,1.0 0.9815497988563655
1.0 1.0,1.0 1.0,0.9201340495361985 0.8139506304493249
0.2253724188547273 0.01759144759916995,0.35892101269230714 1.8237993235782426e-19,1.0 1.0
0.9876080292701894 0.6030248696703226,1.0 0.5294260094721714,1.0 1.0
1.0 1.0,2.0804021253670497e-20 0.008920174373344986,0.7622262576140527 0.30476102663719823
0.8885274482400153 0.1516065924875363,1.0 0.13372421457537106,1.0 0.19508289113029428
0.08281835818438459 0.15205661445699992,1.0 8.508244859487463e-15,0.974415227954466 1.0
1.0 1.0,0.09598273571305566 1.0,1.0 0.003276744386540442
0.9894327285753218 1.0,0.770362283151538 0.748071346681962,1.0 0.20421118040595304
1.0 0.00031336608562479337,0.05025678302832071 0.048024607967348656,0.4785132806808453 1.0
0.42765797009327605 0.44811040301716,1.0 1.0,1.0 0.47418694283845375
1.0 1.150581999852204e-19,0.16706015750121914 0.00017041867895685876,0.8729546467737044 0.5772611044223792
0.9330207093100796 0.7564906373988662,0.0011301634613525972 1.693863892969884e-11,1.0 0.9942722179980388
1.0 0.7103415624158401,0.18059139294946364 0.28613574649544865,0.9444540797216971 1.0
0.3336119374364126 0.710829866780911,0.00025674048786537943 0.49417029497449116,0.26758068819815284 0.08953333679152639
1.0 1.0,0.21253587185535866 0.6129747662787448,0.6302557712069754 1.0
0.008248681428430774 0.7818098740323187,1.0 9.475252064105154e-05,1.0 0.5399113029276412
0.501263498191175 1.0,1.0 1.0,0.008674413319060506 0.3407817383938322
0.6459174462478996 0.5731691206215123,0.2584085150250737 0.5331334227127122,0.0009737452812622132 0.41049980728458413
0.1515778857231271 0.2881137482806705,1.0 1.0,0.915699281713243 0.8418182602428134
0.9468570507289529 0.7309259299214621,0.7985229496173635 0.5271187750193111,0.9875197127227546 0.002392852813229042
1.0 1.0,1.0 0.3865564455020863,0.7909091684374114 0.10398179560272845
1.0 1.0,1.0 0.0730566070109213,0.19354456557665162 0.5700436155256833
0.8893357516552153 0.8458505154443661,0.8856484561740533 0.8435166637793984,0.3327249678040071 0.9884672356018358
1.0 0.3612914682871453,0.6688552866182247 0.34948806024343837,1.0 0.08217521253412038
1.0 0.03771455171804931,0.0029292569790739663 0.8362640227615079,0.6358377522910149 0.1194038735632843
0.5232519642926556 0.10617592473115724,1.0 1.0,0.5798302354262039 3.0190779734385564e-17
0.6798347885867517 0.34462256938711205,0.8959075601373551 1.0,1.0 1.0
8.329823942368721e-07 0.5013583441829706,1.0 1.0,0.26650348451056083 4.6708090959008374e-07
0.8929461917352344 0.8099396309805603,0.6364069390591405 0.6186094241474414,0.008679750836559225 0.02374735686040116
1.0 1.3069146965794329e-06,0.27658097964330136 0.3629234440117156,0.34083982530340035 0.7839103551619485
1.0 1.0,1.0 0.6927670843339625,1.0 1.0
0.4422076113177315 0.5597108045975846,1.0 1.51160161638192e-17,1.794480098048633e-15 0.12147156070735576
0.0010286575702138216 0.4035635736563942,1.0 0.3623901666807044,1.0 0.7791033505405888
1.0 0.41375883768260613,0.49939650674660757 0.935011261168024,0.6067439049684457 0.2490498912990971
0.7294095330993413 0.5968326228361263,0.8733184584600406 0.8807025699552519,1.0 0.746165479176915
0.7078981107856579 0.6206638190844738,0.610451060634631 1.0,1.0 1.0
0.0007070352774044182 1.0,1.0 0.24972248067856517,0.567050407877771 0.03577106972732185
1.0 0.5040738204615585,1.0 0.3947614755736567,0.541396869478691 0.4932204521730526
1.0 0.2778264457690279,1.0 1.0,1.0 1.0
0.43885201112206484 1.0,1.0 1.0,0.00023032772999944995 1.0
1.0 0.7543490721399854,0.3155408466413725 0.3160740858962584,0.8326187326901964 1.0
1.0 0.9533636356656072,1.0 0.11415427707279241,1.0 0.8320024262591129
0.0015723038111217632 0.023233834026322037,0.21142452059026945 0.0013769121356122154,1.0 0.9559100827727643
1.0 0.5989895649208021,0.36455290104110516 0.5530406741920809,0.9164636404950651 0.39765801701179276
0.2738276922040094 0.11362047707658363,1.0 1.0,3.134514202817237e-05 0.5330415571235159
1.0 0.7446422227703289,0.15166760300756793 1.0,0.32954960454607574 0.18944885181028664
0.39654403196948984 0.7297338806084399,0.34772130536917073 0.5396841663860141,1.0 1.0
