P_value_shallow,P_value_dnn1,P_value_dnn2
0.05201727719054689 0.3612979781607435,0.8254283064142314 0.013925109941861202,1.0 0.70500308058553
0.5218012804129535 1.0,1.0 1.0,1.0 1.0
1.0 4.301821434745378e-05,0.4128724015793475 0.8840075298025221,1.0 0.6053707409974276
1.0 4.9778625565013246e-05,1.0 0.06672615816122852,1.0 0.18800338085345156
0.001741957694784906 0.00010571896895597823,0.790248938595387 0.13401876285061498,1.0 0.8505709897461138
0.10193707137374444 0.04559366551359652,1.0 1.0,1.0 0.4438416655670738
1.0 0.08502444464013142,1.0 0.44976328538480903,1.0 0.0650561163939043
0.6026046896264716 0.0012832783593080095,0.14363109532727347 3.7573367596672075e-06,0.42618208952136366 3.10772934902842e-05
1.0 0.00339065619743291,0.13532528527752546 0.0007521428228080592,1.0 0.48940626371541074
2.147174088983865e-08 0.7629528325004191,1.0 0.5461042411341837,1.0 0.046667828156802774
0.548717757425358 0.006850610083333037,0.05804028302027808 0.623593393433677,1.0 1.0
0.674976930799846 1.0,1.0 0.12312737822005244,0.5914276190383896 1.0
1.0 1.0,1.0 0.022113505784372052,0.4475135616721558 0.9702409289191539
1.0 0.0002503250492067241,1.0 1.0,0.4046108717191815 0.5124447455739649
1.0 0.8011515557170475,1.0 1.0,1.0 0.42728922428214106
0.047533136481303334 0.13128747612903835,1.0 0.2620361130617133,1.0 0.07704441089309894
0.02539999028515933 0.06131560718666117,1.0 1.0,1.0 0.2664174206531868
1.0 1.0,1.0 0.13664485813988717,1.0 0.38815696229630986
0.45679396479245526 0.8058130417668177,0.1441763171654894 7.699051509535887e-09,1.0 1.0
0.6934726283117252 2.7908630639157723e-07,1.0 0.23595296453634423,1.0 1.0
1.0 0.34650851362222784,1.0 0.0031232659346848925,0.27374713436046383 1.0
0.23746584129982923 1.1918192803992933e-11,1.0 9.832663752108259e-05,0.3378017264256074 1.3007141243195225e-07
1.0 0.2272411764891977,0.5209450312409054 0.9957377920863186,0.7997702533346945 1.0
0.019097062761146897 0.1327151944492897,0.8877985521177971 0.022937084511728857,1.0 0.03918536223732044
1.0 0.0855232502518609,0.0025064083543267467 0.9708127690891986,0.3743187820149199 1.0
1.0 0.07840136820378533,1.0 0.39402554540492846,0.2185482288837669 1.0
1.0 0.5664476569554009,0.07091821715664359 2.3886085259384882e-11,1.0 1.0
0.8449861273535788 0.0019706970750161075,1.0 0.003972166455879341,1.0 0.00026459339429448067
1.0 1.0,0.6525296374908908 2.7292031677731554e-07,0.9102511643594797 0.0031545269496539743
1.0 0.023437495245055534,1.0 1.0,0.4215017827749247 0.0007450282538852989
0.2674825740300075 0.19920958649083687,1.0 0.000578700369479457,0.005965700089096334 1.0
1.0 0.014220324682563937,1.0 0.35062027303819837,0.9892887177138836 1.0
1.0 0.041713456073858166,0.01633377849288645 4.3128731837801614e-05,0.23500050816517576 1.0
0.8429540551594035 1.0,1.0 2.6918766820542333e-07,0.660703693300761 1.5800576797154592e-05
4.295775092569407e-06 0.04209094910609918,1.0 0.12320775554307613,6.348847067043061e-12 0.01027649592737466
0.9378966382400372 8.893432584783822e-14,1.0 9.666747168610401e-08,5.652313000571842e-08 1.581140196473231e-11
1.0 1.0,1.0 1.0,1.0 2.911510965376594e-05
1.0 1.0,0.1748996671652737 1.841233915132787e-05,1.0 1.0
0.015996709776677442 2.0298129620378983e-08,1.0 0.0009169816897395316,0.2492064673888121 1.982014937146718e-06
1.0 0.4839342863312959,0.24016598155430796 0.003099319882003437,1.0 0.8458539488795205
1.0 1.0,1.0 0.016310533488511886,0.7125032933226167 2.407195009913556e-06
0.983283891075396 1.0,1.0 0.09043860043111407,0.0019915549660175806 1.0
1.0 0.3438161782272548,1.0 0.34720375873427456,1.0 0.0019968890878313775
1.0 0.00018623550315746131,1.0 0.003075338764221617,3.1374207023596265e-05 0.0021402183011704195
0.3019254876422971 0.0006646358623800469,0.9643305406537299 1.0,0.8490843660169533 0.00667053123163368
1.0 1.0,1.0 0.2671745475830386,0.2594269287284189 1.0
1.0 0.33458531468192937,1.0 0.13022768769404236,0.7000963065077908 0.03406285804876171
1.0 0.2503085916567303,0.18381216347029045 0.000143698842203511,1.0 0.00819257832426812
0.6089121928263523 5.180624290303589e-08,0.6233293950321614 0.206142334283767,0.30313686677432194 0.0010417596787464973
1.0 0.33163879818963,0.05844931300161517 2.5754265783582864e-05,0.3476931486532274 0.15425549283436243
1.0 1.0,0.12702213285662753 1.0,0.0015576947808148933 5.5454148253364176e-05
1.0 0.7730062532626835,0.5692460859983004 0.013921277424620737,0.6830052724839208 1.0
1.0 0.33092487703122503,0.7271633325288753 0.00023912816468515442,0.9184917197873144 0.02302602974823467
1.0 0.6349254744193233,0.00021681482248974744 0.0009071385323694295,0.46422050598468945 0.0005173495363846536
1.0 1.0,1.0 0.0015314539351483217,0.06518238472215086 0.004820210003870524
0.9997786155952784 1.0,0.8969691389841752 0.33716916320019985,1.0 0.007414248419398
0.6611177244736149 0.6322596281164734,0.38737872654184025 0.13808381114480073,0.3916074380733531 0.09972601795037431
0.0071794474271333515 2.3031532578221836e-05,0.1483621857652827 2.023274788964772e-08,0.3389405926839216 1.2141644177066654e-07
0.0047611909385808 0.006241823815422372,0.7205546597977615 1.0,0.6188300692069113 0.32545162244706505
1.0 0.0003886399234159936,1.0 1.0,0.0008384067909989084 0.000747020828079739
0.43469109616611024 0.00106680452427733,0.04233843251060346 0.023351057432952675,1.0 2.5186021161121497e-09
0.355073269028607 0.28429413653165697,0.08106935967004449 1.0,1.0 3.038967560409264e-15
1.0 0.0001480367888097773,8.006858077753793e-05 7.507349717395349e-06,0.0046771430247727125 4.4669776119322966e-05
1.0 0.37533773625276223,0.06694808898762926 0.044576242858535356,1.0 9.404483188291326e-10
1.0 1.0,1.0 3.455014048701189e-10,1.0 0.02355202594350148
1.0 2.39058824603721e-08,1.0 1.0,1.0 9.075095178348427e-08
0.75923653853406 1.0,0.14071949658474506 0.9981915796955869,0.02335164765260568 0.0001502222938621265
1.0 0.502098864402091,0.24566510452872453 1.0,0.4034371823016608 1.2546491434030603e-05
0.808665187446935 1.0,0.27363918173279195 0.02403125595879712,0.21316176188657582 8.742736118951641e-12
0.3425694768349889 0.3447574901254259,0.4473229846926109 0.001399208948533189,1.0 1.0
0.12094905237489209 0.0004197047518752577,0.6001510143772588 1.232227896312243e-08,1.0 0.1705972933369336
1.0 0.015276011600447281,1.0 0.9406559436175091,0.3934596172461944 1.0
4.330818496544852e-07 0.036084631340744674,0.002335149009327671 1.0,0.8934686464674899 3.078672494567504e-06
1.0 0.1011009366351337,0.6650394761285051 0.13739043293606407,0.26062404310916304 0.05454024558483137
0.0967824814422428 0.1634464741515886,1.0 0.07870115966200127,1.0 0.00010076604264487555
1.0 0.12588106666622553,0.32408212954712845 7.034296035983488e-07,0.003048688163474158 0.0025619408045256037
0.6486175959962817 1.0,0.013439430403154679 0.0014713661761454684,0.14435123961057586 1.220444489165782e-08
0.07540880334512809 0.010449516481994034,1.0 0.00010516331511650621,0.3669652312101325 1.5059203007325617e-06
1.0 1.7142922138698228e-07,1.0 1.0,0.9349227287215658 1.947163088015364e-12
0.3260388134782916 0.06977808693073362,1.0 0.0002925791051605165,0.012497545662260365 4.1244582129305535e-05
0.16292638017282274 0.5401140200930779,1.0 0.00108483180633057,0.42447848438156915 3.153804817349815e-07
1.0 1.0,0.33164111330533547 0.9798042790434194,1.0 0.9576273722019971
0.2408659566010008 0.20181208777247955,0.036589217921419746 1.0,0.6425946406725882 0.005191352676550915
0.852659604827909 0.0009465055230306941,0.31550990735607426 7.175935470132508e-09,4.4390599584762685e-05 3.5193161301321406e-09
0.359565526291696 0.012938496665371224,1.0 3.3942544363535466e-10,0.010919060668422173 0.6509224187582415
1.0 0.7338372510416497,1.0 0.10982500587513865,0.20747436517796675 1.0074828965204239e-05
1.0 0.06929938671164343,1.0 0.5208499612080197,0.1600694203086021 2.05170984774698e-05
0.5516837372733991 1.0,0.1597637354241455 0.002148652833751609,0.107057664427808 0.003915855418750621
1.0 0.7170770402351581,0.8169617296446829 9.953494229864685e-05,0.9759175705792613 0.0013518946171405546
0.9955451016833905 0.058198278006435636,0.5742781238793593 0.0007978489285905767,1.0 1.0
1.0 0.4979174810436031,0.4438560928515735 3.648319223005384e-05,0.7762517994778111 0.7928539383828425
1.0 0.013703267030108825,1.0 0.0045142934722964476,1.0 0.43781057620295266
1.0 0.002183617002043184,0.6754186669492783 0.00044224685141369116,0.3605801921072439 0.6919859062291132
0.07779949141690552 1.0,0.10544090611767398 3.814236170554147e-11,1.0 0.007815262547294657
1.0 1.0,1.0 0.14261072737359054,1.0 3.346217131607593e-05
0.2362334016543332 8.970598409135718e-12,0.00047069713080155027 0.06538052592476107,0.302579707156968 0.0034073490137282282
7.838501073530338e-06 1.0,0.6117371923105346 0.00013266951728307035,0.14446270538488282 8.605983091453706e-05
0.2666888923773511 6.9315719635967465e-06,0.83944266943514 0.006935288530439546,0.17434111076538333 0.00022041362829043664
1.0 0.0005388032445658952,1.0 0.047072977932599146,1.0 0.00029923247345151386
0.04910480603142042 1.0,1.0 1.0963294934998716e-08,0.15272414191288522 0.0013963320565228085
0.025883098822608863 0.009624908687959132,0.07676365142724263 0.031145776842492187,0.8683920685981981 0.006389575096960748
0.8025487033860046 0.002581437517615407,1.0 1.0,0.2355831756395978 0.4920385699435301
0.0145842575594819 0.09546657294055019,0.8998938296368237 4.5596201861665724e-05,0.17146350698472065 0.00023884316062212918
0.10477172002188959 8.175214005354108e-05,0.40387750499276936 0.014737642922885465,1.0 0.6323154163899826
0.687692866977889 0.0671818242829975,0.3302487767220705 4.4240756934936025e-07,2.109036732593212e-05 0.009759724872108173
0.6948835348194494 1.7515927159302292e-07,0.19581164162471756 0.19271803194279113,0.0020585239455287096 0.22560349631928223
1.0 0.0014051458614748131,1.0 2.1088771873155505e-05,0.32498739397153953 0.47785405395030345
1.0 0.006260811913250668,0.005539232483436297 0.05635620623007879,1.0 0.001689566430223559
0.3638532021427164 0.06655555727319047,1.0 0.1448751736453438,0.5195469114240483 0.00042896997975482324
0.3323431949476752 0.17247183260509505,1.0 0.00012141368379248323,0.037990609716989865 0.2426638776320188
1.0 0.07448484481203327,1.0 0.0019194161896769898,1.0 0.42829049320381185
0.011152843227336652 0.0010242578963628357,0.05335992815229054 8.420548804627142e-06,0.1644199465860186 0.7210920425259026
0.5426896844734914 0.9565387116215706,1.0 0.008204313106908643,0.9114410193049879 0.08221946681627723
0.9636342610379508 0.057418079494760174,1.0 0.0003142059638061917,0.023284104392224864 1.9565820856623313e-14
1.0 0.08437153821969141,0.8907430151645551 0.04951793044726077,0.9714961546415799 1.0
0.8875518697355023 1.0,0.9839406082854065 0.0012941511821822425,0.48764423566648674 0.7811516055097074
1.0 0.2516207658561399,1.0 2.6362563534572458e-08,1.0 2.387243325777563e-05
1.0 0.3574644655872966,0.0002062668610741203 0.07438948376961751,0.15994507616837617 0.004449186234458632
0.7926305072487002 1.5098498051481988e-08,1.0 0.550518793040518,1.0 0.2622573303822783
1.0 0.21512416575178722,0.0617252127548171 0.4354277282136325,1.0 1.0
1.0 1.0,0.023476965055809308 0.0027465930454012278,1.0 1.0
0.03015802612708151 6.915825344223362e-11,0.7706066189595911 0.04737341427110153,1.0 0.002322786026426761
0.1456056585464228 1.0,1.0 0.24656479710109958,1.0 1.0
1.0 3.1425267293236174e-05,1.0 0.0007998580455170557,1.0 0.20730048248187602
1.0 3.3576251534765084e-09,1.0 3.2561580136271715e-06,1.0 0.8213747542541356
0.013101775792113097 1.397391187862056e-08,0.5688683683115034 0.02811426310626571,0.9499910997319837 7.239372755053844e-08
0.7786271403192545 5.8183910509533934e-05,0.02630842656327543 0.6607773506492642,1.0 1.0
1.0 5.314699851193045e-10,0.12317238904102917 1.578847804849489e-09,0.8449136778558095 2.5841199566429674e-10
0.6023394906131758 0.17436164682529268,0.7551628162297516 5.282966233186279e-07,0.2897681242189902 0.44017142666251674
0.054813841044992234 0.9481581071275291,1.0 0.8203981861254004,1.0 0.27540968663207127
1.0 6.00283128661791e-09,0.5374089996376434 0.007091681743693828,0.27164830994050854 8.971595398949793e-09
0.0008031492854189197 0.03280056762547495,1.0 0.3176797802184539,1.0 1.0
1.0 1.0,1.0 1.0,1.0 1.0
0.6733308823422626 0.0007268375988491698,0.025594210328447137 0.04981945049457544,1.0 0.3562232848337682
1.0 0.5225822113862313,1.0 7.018443981473309e-05,1.0 1.0
0.30197718119729067 1.1770473446129503e-07,0.5206109544349937 4.0759651854479724e-08,0.01207580274051665 0.00042171330983206847
1.0 5.479612805665851e-12,0.6305761077165398 3.455721555802213e-06,1.0 1.0
0.884526387239475 4.424342596235454e-09,1.0 3.786648453329255e-06,1.0 6.308688987598174e-07
1.0 1.8683605608546222e-06,0.8525109718096213 2.348938207668478e-09,1.0 4.135569706228316e-11
0.018297972995807404 0.003467024149131281,1.0 1.0,1.0 1.0
1.0 4.881735694504063e-11,0.3606432766261644 0.022609226916242432,1.0 1.0
0.5160931549837591 6.675834379844041e-08,0.26899187839233646 0.003319290390224174,1.0 3.6936316250736576e-10
0.05204405790205245 1.0,1.0 0.8575653074697138,1.0 1.0
1.0 0.09623872634526577,0.4472398370595227 0.8361462643429367,1.0 0.3308613464678165
0.08464818219668543 0.021649662027031495,1.0 0.4041084615516127,1.0 1.0
0.03527765013901651 0.00015332917032104983,0.20854322307195972 5.481521159186013e-06,0.621679186462829 0.0005635029504541148
1.0 1.0,0.0010882845833041696 0.023722382827514543,0.007238402640332631 0.05135260210817823
2.508683801499959e-07 6.768689553465872e-08,0.23940573859994485 0.23081114692203675,0.40954861845340323 0.16343523077780658
0.28727141664598715 6.984163999558887e-05,1.0 0.2638913718771769,1.0 0.0023089732648650984
1.0 1.0,1.0 1.0,1.0 1.0
1.0 0.0002043974574869294,0.21295209441496624 6.388540264346687e-05,1.0 0.29222047860885164
0.01382750052179213 0.0012054223117342394,0.5806460413133478 9.936904315146149e-08,1.0 0.00920275796018038
1.0 0.8565351497997681,1.0 1.0,0.21331509000932491 0.9573261709768118
0.9776208900045742 0.042052639742962694,1.0 3.9547933701440194e-06,1.0 1.0
1.0 4.311473973446763e-09,1.0 1.3822155034454598e-05,1.0 0.646628195669964
1.0 0.1781790363171106,1.0 5.577393706557401e-12,1.0 5.772447134305225e-06
0.0018306742812467828 1.0447935490135985e-05,1.0 1.0,1.0 1.0
0.0008994402814642531 0.031173442746832355,1.0 1.0,0.004151676718407106 0.0016914311402456595
1.0 0.03529185867337902,1.0 1.0,1.0 1.0
1.0 0.6968893898872565,1.0 0.45668398153066714,1.0 0.3043458350063205
1.0 0.9673858206654853,0.8130342714969838 0.7748250939246172,0.3146024693718983 1.0
1.0 0.1097886544121642,0.07975752553690307 0.19726512068072283,1.0 0.0023004541297558957
1.0 0.0004993946227332978,0.03039016350810328 0.312230891183622,1.0 1.0
1.0 1.0,1.0 1.0,1.0 0.3251614588440666
0.8067355320885665 1.0,0.2923236502067726 0.011741538956235833,1.0 1.0
0.006477252619334305 3.138247917173015e-06,0.9108842350876767 0.0031829262699911336,0.020194357652553657 7.3327663817436195e-09
0.46346319963056737 0.24215874916546892,1.0 6.016799586413629e-07,1.0 1.0009390534450366e-09
1.0 0.0009986168141058267,1.0 0.4700337690535027,0.4901304310820331 2.4922824392555363e-12
0.8094452940185666 0.029667352053416703,1.0 0.006383169225304691,0.8727723822138981 0.009164476040003259
1.0 0.006991491881410348,1.0 1.0,0.6008155188239407 1.0
0.12697077092457146 0.2137917721825281,0.7528965324248027 0.37597429558221446,0.3807605410881812 0.9496310827742105
1.0 1.8029180050453583e-13,1.0 1.0,1.0 1.0480159899764884e-06
3.45429050040292e-10 1.0,0.7129898730946467 1.0,1.0 0.7829506019724137
1.0 1.0,1.0 0.15708264357152574,1.0 1.0
1.0 0.0032312502107489137,0.12825683792289788 2.005531144086224e-11,1.0 0.024287265380854055
1.0 2.8112239459405935e-09,0.40160187419106125 0.0001459121649489441,1.0 2.0508118846642333e-06
0.07959771215309418 0.008370438806574962,1.0 0.8086677581452199,0.08253791136352845 0.03681059219205673
0.6936419637757243 0.00897323512531492,0.0009342913473163559 2.8275172848219694e-07,1.0 0.5503758591550643
0.6417419083319347 0.015122312612243453,0.029770199150737378 7.053979548846698e-08,0.009071305399518326 0.0008878644299662999
1.0 0.4949415486310263,1.0 0.8500278448901435,7.962575611401538e-08 5.633269956387488e-10
1.0 0.21109587554544876,0.965575481233262 6.360057541736865e-08,1.0 1.0616082240323768e-08
0.9706854142519641 0.48780755419883004,0.10024316958645776 3.026645279873741e-06,0.10913330792324494 2.660780188369995e-05
1.0 1.0,0.1027605357363704 1.0,0.024951176269176006 1.0
2.3132310524395942e-05 1.0,1.0 0.14546321103312532,1.0 1.255744799216197e-09
8.637940974663789e-05 1.0,0.1269940733900413 7.256484322094526e-05,0.926968691947986 0.01411843651698332
1.0 0.060523493278172164,1.0 1.0,0.9607298094655841 9.675550352013245e-14
0.0034033230471039125 0.036676426739940454,0.5702681108469301 7.398759467219262e-11,1.0 0.0028323493286321016
1.0 2.6616485641891912e-05,1.0 1.0,0.012130821902950992 1.5512084873894237e-07
1.0 1.0,0.32065814191640507 1.0,1.0 1.0
0.009829168084555431 9.297332914273167e-05,1.0 0.18325133850582126,0.04951409152054771 7.036349631204972e-10
1.0 1.0,0.9884873227696259 0.016126744486086773,1.0 0.7184859999760875
0.15774165765350412 0.0005743691995378251,1.0 1.0,0.11844327828628906 0.7313885589332377
