P_value_shallow,P_value_dnn1,P_value_dnn2
1.0 0.2090840799601568,0.11326055535997771 0.16464865966077316,0.00020461811797100013 0.7079983802723065
0.5527790063153128 0.0019833910994097132,1.0 1.0,0.6060934950785227 0.6861023659518384
0.002622222303127899 1.0,1.0 0.7708236179192947,0.008691217189892774 0.5507691384713911
1.0 0.7040133552286254,0.3274265827401785 0.39837608468687324,0.6177019669910152 0.048698240288687134
0.25249239935754675 0.9786808560724253,1.0 1.0,0.06948596870927938 1.0
1.0 1.0,0.9779071795073506 1.0,0.9321335650344493 0.811195212396066
1.0 0.040138699150905226,0.7663053298268705 0.2351345904030453,1.0 1.0
0.14963781330295028 0.03804017102129494,0.06990679384711125 0.7759895371500017,0.6451256673176633 0.9469260994091069
0.8299648921470513 1.0,0.5600316546887055 0.23919792573988122,1.0 1.0
0.19059582863140095 1.0,0.5684870495870242 0.11228767691130784,0.08311867362715336 0.3007309652546407
0.19065856103365325 0.2705292764919064,1.0 0.044416091347597574,1.0 1.0
1.0 0.4853158391150454,0.06800328866594796 0.4902841843810766,0.23394475871327267 1.0
0.31688681854282447 0.3792434956374313,1.0 1.0,1.0 1.0
1.0 9.828582350790354e-05,0.08755462818911391 0.6799277561925057,1.0 0.3843237061401099
1.0 1.0,0.25864392174420997 0.638829534770693,0.8901264368228817 0.7082219161981518
0.738240431746524 1.0,0.6260218785160793 1.0,0.60261213252609 0.35058052543461704
0.005421679723133453 0.020002200889542333,0.9403777111897038 0.5364979437335731,1.0 0.1345140753818925
1.0 1.0,1.0 1.0,1.0 1.0
0.4879145956503783 0.29309464040625105,0.08858353687165513 0.44833159293778446,0.9771037266058712 0.11414783143626775
1.0 0.7375277987096452,1.0 0.9061619841336775,0.6634641484548246 1.0
1.0 0.6510801242344519,0.6505985739151124 0.8957579813978719,0.7228546376345295 0.041191203118840475
0.5512784780176473 0.22777498873876267,0.8400047623119113 0.08188045984422682,0.2569953661781869 1.0
1.0 0.004743051648282313,0.06474000267760496 0.46277125150059345,0.3339411065014336 1.0
1.0 0.34695531607211993,0.008992250189082411 1.0,0.3957093501956741 0.1606893803889476
0.052196878650134615 0.4590529190964751,1.0 0.0982763358685066,1.0 0.9378563844323451
1.0 0.9149397661119558,1.0 0.5242363048546026,0.906313975410505 0.276108956136255
1.0 0.9646804311155338,1.0 0.768295610079344,0.9783705421595302 0.3982569999189621
0.5178653140546345 0.20956797350362008,0.10583544853586477 1.0,1.0 0.6203980924231354
1.0 0.14993248718026148,1.0 1.0,0.7047717603610728 0.6603016960830183
1.0 0.05745118178021362,0.9361555254378049 0.064121529367626,0.030693209973234055 0.1083924664626464
1.0 0.8455035783857201,1.0 0.24932368690678094,0.07231168747905728 0.1657704797186182
1.0 1.0,1.0 0.12454833041888679,1.0 1.0
0.21734224835177285 0.09017051221359951,0.8763685547941462 1.0,1.0 0.040331283619953986
1.0 0.6623089040580818,1.0 1.0,0.4244730252368332 0.2951141391787526
0.030746244034984594 1.0,0.11805622202493332 0.3507350079720844,0.8561362825800963 0.7426737948960446
1.0 0.7292856457430745,1.0 1.0,0.7942710321431998 0.8575837836582187
1.0 0.6705035290809584,0.4314519411073378 1.0,0.1596075971961607 0.34147717467918215
1.0 0.5719999912382718,1.0 1.0,1.0 1.0
0.978201038382851 0.2693292687476574,0.13179831925483965 1.0,1.0 0.2620831769948079
0.15152437433068988 0.518836683057911,0.7358525874991109 0.46767111953312546,1.0 1.0
1.0 0.832376694714452,0.7572500790934856 0.0236180521091586,0.7911770684624106 0.20326962781605
1.0 0.4083184974129888,0.0038346961180722857 0.06386611434649342,0.15695760826376057 1.0
1.0 1.0,0.23585005116265628 0.717940502016907,0.17064006504033835 1.0
1.0 0.3630476858802097,1.0 1.0,1.0 1.0
0.2159127982043441 0.30759039818602785,0.11099704397730528 0.20037884995957406,1.0 1.0
1.0 0.06440280765535443,1.0 0.13118645924523686,0.7189556193370701 0.6616683981123119
1.0 0.21944409743166154,1.0 0.37642032109257734,0.28083887271263536 0.7925601434542116
1.0 0.06991137744530135,0.7105774531239015 0.350047470875819,0.7382244768645545 0.9728613297852714
1.0 0.7870777146821639,1.0 1.0,0.7304621244746081 0.4998422977077857
0.646935483141653 1.0,1.0 1.0,1.0 0.9639810601543648
1.0 0.045228346819153956,0.8504214733986079 1.0,0.26321671877165176 1.0
1.0 1.0,1.0 1.0,0.29061920823626686 0.6626912982971871
0.3367849831810499 0.06774091715680378,1.0 1.0,1.0 1.0
0.6676321986097313 0.8290086330594063,1.0 0.3747580377834622,1.0 0.6998136812528872
1.0 0.5118734187708653,0.6905664781989607 6.4998117213697e-05,0.7047508071480697 0.00023983603110132984
1.0 0.5933838740441122,1.0 0.06806829406664203,0.7833123867547283 0.7220361436670992
0.06830740577393221 0.7559080063138472,0.22628279066047724 1.0,0.1137497358049128 0.23481988235320636
