P_value_shallow,P_value_dnn1,P_value_dnn2
0.49518964535987775 0.8869363958473353,0.07765630892792383 0.17084274296443291,0.003603487446272033 0.15792375602385356
1.0 0.945932863991787,1.0 0.0009548255877845524,1.0 0.004321037180160228
5.5051909323684315e-05 1.0,1.0 0.7519664662172478,0.7226809595374506 0.00017345901186006875
0.03752103822039556 0.1755249657530275,0.7058680250765742 0.0009843102023973525,1.0 0.26225447639912414
0.2644052715253068 0.00035401232797045034,1.0 0.09896962274436928,0.3710894897261314 5.8625199491484176e-06
0.5305765445146552 0.06126662198024277,0.12337003555893347 0.01427011203203486,0.6203594408252227 0.29486669079046324
0.35911861556338454 1.0,0.0005319091001033826 0.7649105904516393,1.0 0.7062114963366719
0.17689121180257195 0.022815127873184505,0.10221267039453197 0.2404320351432244,0.4418362663849949 0.48475397802886455
0.8247042554317141 0.022709477179324783,0.32188406969899336 0.0002638164072624104,1.0 2.9519633960236852e-05
0.6463854371861952 0.019554640163282754,1.0 0.0018763321426938694,0.818464482220907 1.0
0.9521488546499736 0.19287688599747901,0.8076583439291287 0.7190886625784355,0.22013808479473623 0.12580931956182248
0.758630859781456 1.0,1.0 2.4356750615394458e-05,0.3405282984922413 7.564159124727446e-05
9.541803624189847e-06 0.0008555163942291594,0.027094340454964696 6.630189167409192e-06,0.4384403247752633 1.4447930631855102e-07
0.130511818898503 0.29254211569206506,0.024211383036022507 0.0006993402485811146,6.150899702007554e-05 7.067892692953504e-08
0.4038270843128105 0.2852448868394729,0.33313668318286543 0.0024161732148941595,0.5751157432098524 0.19211466481058811
1.0 0.01044997422688494,1.0 0.1233375342347966,0.4487328633568286 0.6837873821652938
1.0 0.012748443695806539,0.21299969188761916 0.06015838297364674,0.020266503987730895 1.0161761875086848e-05
1.0 0.345338214707095,1.0 1.0,0.0004188089411797708 0.013403334783888153
1.0 1.0,0.013084296450623862 0.08792775114064777,0.9593118778254837 0.7052736272772817
1.0 0.686342665367427,1.0 4.951386747769879e-06,1.0 0.2564147351727477
