P_value_shallow,P_value_dnn1,P_value_dnn2
0.7822894354801931 0.933045708838022,0.15466347569015337 0.0030039939958418777,1.0 0.4162758363382376
1.0 0.29439383584510287,0.010635909264427389 0.4460469847653627,1.0 1.0
1.0 1.0,0.616974549035497 0.022147507678712968,0.6599906726772957 0.563952677195805
1.0 0.20902461055447388,1.0 0.34058660204560837,0.7794696755822805 0.591268150105005
0.20678181167591728 1.0,0.34614288498919143 0.16016829494962376,1.0 1.0
0.06078589549996313 0.26079779247784435,0.22347405552855593 0.17813618802559011,0.7333015843022744 0.42471743943412915
1.0 0.7440167914737905,0.4689379034078029 0.40789598659614146,0.8172250928431309 0.9549648896473265
0.8574931748383713 0.19253540558785964,0.014421508314343275 0.058336311193691946,0.560094008272194 1.0
0.531084689487221 0.07635147769048704,0.6511928817498932 1.0,1.0 1.0
1.0 1.0,1.0 0.10972906834373042,0.8578400964498222 0.2007450595612582
1.0 0.5285960634101778,1.0 0.3900197909128742,0.43285721887739037 1.807560333301661e-08
0.019929899601513975 0.4694342515550686,0.9616996432957801 0.019244485327645798,1.0 0.30720868513626365
1.0 0.16398096814997537,1.0 1.0,1.0 1.0
0.8672801453734371 0.1275999344408189,0.2574901876921958 0.7507238701950761,0.5176533893216536 0.822016184974886
0.3342914330985073 0.33924017585917193,0.2552835603358725 0.4719104459577143,0.9012601275079011 0.812425331763678
0.48176725060098424 1.0,0.6075332189674674 0.10474328971175335,1.0 0.7224516420712901
0.9168149544738537 0.06170519324745902,1.0 0.08247260928675443,0.6259611232883617 0.5047712586999353
0.846524915806972 0.032406436166124264,0.34863238459324514 0.009820206278021295,0.6177606596692964 0.012163577177140256
0.9590106057374654 0.0882153930226423,1.0 1.0,0.09111261337111798 0.8181700509407299
0.5204957925514815 0.9652431709042201,0.33822161123856176 1.0,1.0 1.0
0.9783675367739137 0.9512282679558466,1.0 0.02710127309134941,1.0 1.0
0.5277170492342631 0.2079868715857426,1.0 0.03312412017503517,1.0 1.0
0.3440079288948211 0.14349937473143304,1.0 0.5864436997551069,0.80758003019802 0.18446396222914183
0.0024805868664644045 0.01843316718369982,1.0 0.10485019646175195,0.006980917193617028 0.028821423928707943
1.0 0.12342531868516063,0.4553436072932483 1.0,1.0 1.0
0.662357458025053 0.9870229768569846,0.7737379003446205 0.9466606084183927,0.8501439068700869 1.0
0.8648751315988403 0.04466815871001867,0.31092805364891796 0.08788225622258304,0.19754882420042727 0.3187633997896046
0.46165398803907476 0.7246886261472649,0.7303474723693414 0.7151140004144816,0.0595566735368933 0.09181684924837548
0.7421878332193516 0.0025211818080309078,0.07187615650541099 0.8129820770786597,1.0 1.0
0.8964797681134361 0.3647592118867359,1.0 1.0,0.2336498960982335 1.0
1.0 0.21034979537300272,0.008666190659475985 0.00034446402283846436,0.9101192086505702 0.20584922040590203
0.01698736243643268 0.05639288802545703,0.08630990774575206 0.29600150209192344,1.0 1.0
0.964328331818763 0.2554614181988559,0.8968993324438711 0.03686664083162845,1.0 0.1912148068850246
0.5896457450404177 0.002635446279245995,1.0 0.4851307085558409,1.0 0.08128580550775957
1.0 0.8906656653305915,0.6556979743009175 0.00668950235083266,1.0 1.0
0.6782890526553427 0.0003886713124880383,0.2823892085552834 0.03154719599904491,1.0 1.0
1.0 1.0,1.0 1.0,1.0 1.0
1.0 0.49456798408075026,0.37615787126711314 0.003192151956032341,0.3536449813405838 0.00035146020930499494
0.9524522055211874 0.547518890064924,0.009493964041399442 0.38580966976343245,0.8694306430618048 1.0
1.0 0.3198253383903578,0.026468857351105338 1.0,0.13196827422478025 0.4751318502240178
0.0924310321300007 1.7286086986052178e-05,0.3932705422392144 0.13601553421481105,1.0 0.32135595812865686
1.0 0.9640952590866791,0.6223549607168559 0.13442189149117867,0.24301028852555207 0.8175691579909383
0.033039676099979584 0.6815989216860012,0.14969997023859483 0.00024955003824110106,0.4455011876997138 0.7457870994898108
0.12146780723989481 1.4011900449879475e-05,1.0 0.16643372287312666,0.03211501790299789 0.6604612226923832
0.0013969366596181445 0.27668483211041617,1.0 0.22067634622496468,1.0 0.008607956300077355
0.149887250751276 0.0008054738755455878,0.13665302258284054 0.23043174915077397,0.16575572123015386 1.0
1.0 0.00015170336149605945,1.0 0.008086958605807552,0.35093674968756156 0.0931730766256223
0.5689000107820097 0.015860937268178485,1.0 0.3343318274573248,1.0 1.0
1.0 0.0022503141334415653,0.0947035800030831 0.08470820222034348,1.0 1.0
0.013665815486264232 0.013146152445412663,0.01987886318146865 1.0,0.3411122743953643 0.09033889638802778
0.9824840553560812 0.03958641312749278,1.0 0.44678339299242376,1.0 0.5294008497293468
0.9471431128550523 0.12759148325559824,1.0 0.18025853058785732,1.0 0.27770966363362004
0.15367642648929297 0.022877121339621602,1.0 0.03772936335313177,0.37517071773796895 0.6737092914748846
0.44379634588982214 0.08423132574194615,1.0 1.0,1.0 0.0021598729019029583
1.0 0.0522617896751293,0.46997196171504974 1.0,0.0685840553835284 0.1338200857442765
1.0 0.000952818729776403,0.03920727899180488 0.6071114773782351,0.2400760026140245 0.02185413892381988
1.0 0.14589140871456843,1.0 1.0,0.538862694847841 0.10003078268294985
0.37148430126432197 0.0011239887986380928,0.01867945855835345 0.19407425675226792,0.8431772637060145 0.010289411128550842
1.0 0.4482404517801593,0.13577091878952005 0.048728366549124956,0.3203019624449812 0.027720689319120508
0.00907990429804511 0.5416128622687937,1.0 0.00013874760504273574,0.6100032092305444 4.367514798720198e-05
0.2118227764089795 0.022937747468587753,0.043735697186963136 0.19259470382941601,0.23797129908882142 0.5033568922224296
1.0 0.0003387278292767361,1.0 0.10288343102016129,1.0 0.04120838656492711
0.40818133284752306 0.5030005133220304,0.2744157114621125 0.9771289877180054,0.037539282137037375 0.5313612328547919
0.11671645467063564 0.0035394951876122262,1.0 0.03927897108972084,1.0 0.2112632295900053
0.05730594041986559 0.005044190310997971,0.013818374582055678 0.010995253651755653,1.0 0.014068612266625358
0.9112803793738644 0.6285608921266537,0.06199578948099822 0.5283241636070684,1.0 1.0
0.8559355857237704 1.0,0.4690987710621608 0.21131799421016312,1.0 0.03187381201858071
1.0 0.49318963878948224,1.0 0.014285933094036316,0.05898530165636369 1.0
0.7837515723731873 0.4096983811940044,0.05260964572976826 0.15778070453900536,0.5670804453023102 0.25851050883622423
0.3163818119432213 0.0017941457386758417,1.0 0.3965480068960071,0.14965048598915615 0.7589322996640022
0.2741791215779857 0.7105255107616087,0.8892964371141661 0.11235346752901426,0.059784270749409577 1.0
0.9942173889158974 0.46127645021942204,0.09730235004378006 1.0,0.059013553244222396 0.019694194101275868
1.0 0.0016743755415872105,0.005193992814558083 1.0,0.3582488845791898 0.08332645215578145
0.15045899596323317 0.368042005516196,0.677840473202096 0.17346860391896748,0.9756447299068989 0.03204196257386412
0.6483403320292213 0.5941181682197901,1.0 0.2357402278684603,1.0 0.622255824018049
1.0 0.5049556418251308,1.0 0.0006451227358996962,1.0 0.00022486888252547168
0.05371484429715737 0.06554025862588976,0.33772292569435447 1.0,0.6592819121148613 0.010968470653680996
0.2209681978445266 1.0,1.0 0.288517195829124,0.00922514649846921 0.028527761128982976
0.09293740377952088 0.2611921319822304,1.0 1.0,0.9667940601132985 1.0
0.13164008623161577 0.0963724924945337,0.9989041618406064 0.22486122160390226,0.03039206274996427 0.003333537100957224
1.0 1.0,0.704669436667845 2.900760082180396e-05,0.9825165096520625 0.019385081295546724
0.6086470258159538 0.5371530143039599,1.0 0.5333860240153545,0.5632978754236091 0.4876187097462472
0.14798633627102104 1.0,0.2420191579635544 0.8357914439231253,0.3773863656766778 0.006895360605412574
0.8034507171553718 0.21140766656430693,1.0 0.1411994918251696,0.7345045170463314 0.3595150745082497
0.04622962496100295 0.2800965718220769,0.002220239655499493 0.7952998239834573,0.6441828011882632 1.0
1.0 0.9173289292428971,0.0762609414336725 0.890964867895754,0.259880130426048 0.015164649350951355
0.23898833735233638 0.21730561663397652,1.0 1.0,1.0 0.00045141457553627654
0.6213171028752824 0.5723650421275668,1.0 0.15801529485974652,0.26176512038212685 0.06908538304428968
1.0 0.011227765678391987,0.2055769702351587 0.3437040769980153,0.13808774646314134 0.0025164892185509597
0.3439652257495201 0.01247092696795694,0.39983217743883687 0.028278509846594736,0.9265633443717738 0.07871518158621249
0.0027378657323159465 0.17317529728687292,0.8958182591684185 0.0006513206492825989,0.35129415013959353 6.006696884717091e-05
0.8955375887502828 0.26794257386415005,0.062466114720736154 1.0,1.0 0.893761505904227
0.20467501760829343 0.8864000656100042,0.08430040996158886 0.05403640759909936,1.0 0.15963719286591643
0.5356710955035037 1.0,0.5194159902661906 0.6944001131034423,1.0 0.00876859566797549
0.2592585088078759 0.06980024352901977,0.034321826478380245 0.6528105539399666,1.0 0.00039199751938871134
1.0 0.21847029545106691,0.02337112259773365 1.0,0.20316250316831752 1.0
0.02617388957466841 0.13169624727821805,0.4218263089674796 1.0,0.36807488626132023 0.670369976416135
