P_value_shallow,P_value_dnn1,P_value_dnn2
1.0 0.9641561305430646,0.4958728487175553 0.19868919209900288,1.0 0.003052517788398623
0.6499805490788564 0.7004001995979875,0.8727131646101701 1.0,0.16346947012701157 0.447529254864584
0.05416326899748266 1.0,0.08329370635539944 1.0,0.9358394600655588 0.24469454969695265
0.031242272579478998 0.006821160704006771,1.0 0.009484119622796147,0.27754012601639677 0.0029750113027219565
0.13515224031020984 1.0,1.0 0.41467887435497885,0.0012792989989054773 1.0
1.0 0.028083739044228246,0.4785131870247659 0.07532954557787735,0.08015242006131021 0.4203674291290942
1.0 0.02159893050825792,0.09090085278291843 1.9281775342977715e-05,1.0 1.0
1.0 1.0,0.3985846194313447 0.8537549425681303,1.0 1.0
0.11615864571760325 1.0,0.2567489610547511 0.0074428665866021915,1.0 1.0
0.1695951261430989 0.5275148338975155,0.6689829921136539 1.0,0.6131501170305496 0.04430812742292155
0.051650585530039456 0.03901115927650545,0.9034414451851099 0.43916056867108105,0.21997696246725812 0.783790353325556
0.7175614036152954 1.0,1.0 0.04999458449744887,1.0 0.2955836348198111
1.0 0.0002348785744077238,0.769072454897423 0.2103786331484708,1.0 0.24069698270014134
0.48773174436320077 0.8585930853977706,0.5794835546823753 0.4261881454996345,0.03594443499971585 0.09271034142571552
1.0 1.0,0.05747934177638252 0.3369306463498837,0.06640203533567404 0.2457958328017949
0.9631699459693087 0.15917965116557775,0.537953319929902 0.3799059728940433,0.26074051567764595 0.0008530198865541835
1.0 0.14498507354252377,1.0 0.5937396349460367,0.1302696780577287 0.00016542661068746721
0.09827748247840143 0.13739990306917874,0.2861997115327001 0.03794042990433866,1.0 0.3514587232686945
1.0 0.2821364097515818,0.028062769976491726 0.08195550813831645,1.0 0.8456707412677182
0.12229587701215085 1.0,1.0 0.6399533106894667,0.9540107649914753 0.830290575810624
0.5536198156968161 0.568575897015187,0.6799020270877898 0.8698803563212468,0.1527954229669149 0.5325661914565222
0.621475480986516 0.38313099468767736,0.010134675960585808 1.0,1.0 0.02636756885367731
0.5706930222345915 0.0036237011225640292,0.004984654030494254 0.10071603821582673,1.0 0.31005008826583746
1.0 0.15086556847504778,1.0 0.5479239895779996,0.6648550560700853 1.0
0.6652052772424013 0.4601493062152566,0.9949733367345761 0.009214167143732285,0.8985576859391321 1.0
1.0 0.05722501809914962,1.0 0.3640390402395908,1.0 0.3819964424323731
0.22610337200967773 0.8136499102336037,0.5873214020459857 1.0,0.0247969827772593 0.4021393719727294
1.0 1.0,1.0 0.02809645149304415,0.22748441774926031 0.003232317068388768
0.5496130502644863 0.18477759939717808,0.3577977874460347 0.04706910047978203,0.5961990000937526 0.0007961048280225647
0.028681095875396415 0.05615200990791136,0.01112358449837307 1.0,0.15380584500019853 0.7765550691616303
0.6117695446419035 1.0,1.0 0.9159228423875923,1.0 0.920365831623327
0.408192189138378 0.012880846513548126,0.22642675955621336 1.0,0.48460674483594834 0.03231419992892956
1.0 0.012185597476361231,0.5506562995271844 0.2555723719713371,0.0024333571240713813 1.0
0.129808295823913 0.056651419931583846,0.3327116602684428 0.9298264990319289,1.0 0.5902502216627808
1.0 0.8220420613780459,0.2851271407075368 0.03318464199234702,0.06636327819379262 1.0
0.931101269734018 0.019328947080499915,1.0 0.003254188030231788,1.0 0.5179258227758736
0.3488311550048482 0.058219264253487724,0.9662106369661124 0.07740610476289354,0.39885366038920245 0.16501358215728226
0.0010140083371974152 0.013943663037662575,0.7705841357924111 0.10292309481005148,0.12746989304707615 0.0002659053482071962
0.824821846269709 0.07033830895517948,1.0 0.5861808144746293,0.5788534509331835 1.0
0.42735393493642276 3.8611855725616953e-10,1.0 1.0,1.0 1.0
0.8895179275164384 0.0031323731617503418,1.0 1.0,0.9519094428620973 0.3121114980897649
0.03783040255769189 0.05376107067255888,1.0 0.2703230122859004,1.0 0.7498548211643291
0.35620963118755355 0.2959173304819426,0.18505960425620718 1.0,0.5887435617688161 0.2516354623285326
1.0 0.0003465183830422069,1.0 1.0,0.3130033481154649 0.35570757661220725
1.0 0.0015030279485432562,1.0 1.0,0.3251119440132441 0.6190930658886185
1.0 0.5850528765355334,0.09418915985460605 0.08210913100329757,0.7770913137711866 0.03571972437110425
0.5758683688164588 0.4262870455514747,1.0 0.001513238693554314,0.5195587084379363 0.6654919606053163
1.0 0.9201440181622003,1.0 0.05871852392932202,0.3339658959987162 0.3865940436009862
1.0 0.8535329542855243,0.31634888647470866 0.00038028390679397674,1.0 0.4374896962706652
1.0 0.18305315942783135,0.2884076711634357 0.10073278899170907,1.0 0.25625833521753943
0.09923856082412966 0.4595287664533727,0.10629187518508046 0.025892980831281262,1.0 1.0
0.6186928501579072 0.09209531258166483,0.09243057961054013 1.0,0.8766028409009092 0.9808293849326055
1.0 1.0,0.6894146021382975 0.20544206934589893,0.95108405102672 0.6835935269462821
1.0 0.9542772185390709,0.5691242932755458 0.15427295764076243,1.0 0.7055927381789685
0.011045286009348829 1.0,0.9051030073741608 1.0,0.5709283401828386 1.0
1.0 0.20822726751566606,0.8890769631352522 0.0005823906679033354,0.30889132159670263 0.05733693938752994
1.0 0.003488630434317277,0.9853892057992053 1.0,0.06207921087796672 0.24609302911398545
0.058287433683081806 1.0,0.2823886287232315 0.6959128016252335,0.05929510725795549 0.042573420079314604
1.0 1.0,1.0 1.0,0.8363033771681453 1.0
0.3639580715747851 0.24019016346875832,1.0 0.08917559725190033,0.02462360732085787 0.016375160988189405
1.0 0.44047417327563415,0.2567547763512842 0.6453987735939175,0.038250748687240085 0.8682416454312263
0.0028695589740528435 1.0,1.0 0.36369523564547085,0.2218831194270075 0.597609932055081
1.0 1.0,1.0 1.0,1.0 0.1653395942118222
0.16003147041848156 0.2517390005915475,0.6031766951277505 1.0,1.0 0.98294675291604
1.0 1.0,1.0 1.0,0.7282498816721812 0.4245841758293612
1.0 0.23188039387315956,1.0 1.0,0.5862974813661637 1.0
1.0 1.0,1.0 0.18883744323563417,1.0 0.43375826179143634
1.0 0.2595144028865838,0.008742470681535915 0.06910153145082631,1.0 0.05580973974365598
1.0 1.0,1.0 0.6822026508562464,1.0 1.0
0.46756627182633664 0.5835125337067224,0.9508506119990741 0.7105311035896553,0.33936173057613706 0.2536654747320558
0.23170218182849556 1.0,0.31519027369364494 1.0,0.004494523741869543 0.0012618689150658779
0.5110087609359214 0.9877863546793626,0.7851246863313472 0.05531246975740613,1.0 1.0
0.6957667036156812 0.5567599395989339,0.25260796204831315 0.039918183312069505,1.0 1.0
1.0 0.30420749978972506,1.0 1.0,1.0 1.0
1.0 0.9664379555679937,0.6004117833994138 0.16899338952747275,0.6401402089270161 0.6633161475547424
0.500637427699624 0.049286706838747245,0.657846004161122 0.293117835417183,1.0 1.0
1.0 1.0,0.6260707186752776 0.3127690004801468,1.0 0.6715280252276997
0.5465101467862776 0.44590505431989613,1.0 0.5238499013977331,1.0 0.5894619836343014
0.8835954125268356 1.0,1.0 0.8179546204065239,0.6083857719683132 0.09480346208173532
0.09209448855942337 0.7649629728647471,0.08148542552128284 1.0,0.9585668382105248 0.7424676197430804
0.9068368313593081 0.5932422566758822,1.0 0.00544998169748253,0.24488378811823897 0.22824026564604194
1.0 1.0,0.8441243566491059 0.32085723518585973,0.592841606331614 0.1665504324289311
0.22990581787498776 0.8576682339401985,1.0 1.0,0.1610525098090303 1.0
0.18510866912436516 0.45191027109127857,0.7577252267757032 0.4374529501587116,1.0 0.0078166356763901
0.07123998395681017 1.0,0.09558805264174547 0.20348981361644433,0.5705326441937053 1.0
0.2571079276441216 0.3560156230062951,1.0 0.4685733629856911,1.0 1.0
1.0 0.0008683906681607996,0.04844901343561486 0.10509239867489337,0.4419013368669726 0.5506389034526805
0.5482598903866173 0.25186832302068946,0.789149709005305 0.32032734672505814,0.990204252245738 0.45727161055943205
1.0 0.5038029544032422,0.09324274062548334 1.0,1.0 0.48176689813128515
1.0 0.4135066415850632,0.5316806714888278 0.9527590170093059,0.23613021688811822 0.5264645189630244
0.2102228279271245 0.8652784553483636,1.0 0.16762108349183277,0.3047928590141646 0.3111435246677493
0.9027550014086476 0.28949713629026474,0.030143721841912767 0.4521726065915286,1.0 1.0
0.10636394363629234 1.0,0.8970298413059452 0.7712533749334307,0.6473419229812345 0.005985401151996396
1.0 0.9450633393808532,0.21191030023168364 1.0,0.8805068318959479 0.31407477478133927
1.0 0.721435970386078,1.0 0.4012854116062794,1.0 0.04969028941313597
0.5516516718082694 0.259213057466453,1.0 0.16433237167582856,1.0 0.619161099740306
0.49813338007867025 0.8989974980378111,1.0 0.4050708835606045,0.783132870510896 1.0
0.9762517010956504 1.0,0.2805724962882463 0.30717848337442205,1.0 0.3074382859092169
0.12362877341101557 0.1544296162932758,0.2894441709077452 0.2220947104354462,0.5268852509756853 0.8346214978141839
1.0 1.0,0.8176030339849771 0.2722069317490118,1.0 0.24493407494213543
1.0 0.5112152417502929,1.0 0.6356077558066475,0.40375950764484403 0.1699369110768869
0.39967740789026607 0.6299190423882344,0.4764704704969838 1.0,0.07735080206039661 0.0020012119399856836
0.5749075708333425 1.0,1.0 0.041022111473403004,1.0 0.18007831870401197
0.370185135993336 1.0,1.0 1.0,0.4226867685226085 0.7997757216473067
0.5274523753088765 1.0,1.0 0.9029434362594211,1.0 1.0
0.5076986219184143 1.0,0.9498081319497192 1.0,0.5167252384135093 0.17174068449563779
0.1874851937317931 0.23441490828984907,1.0 0.011624853414333839,0.4165565660505722 0.009934985774547109
1.0 1.0,1.0 0.4889347047658021,1.0 0.13623235281535095
1.0 0.0005147310781283908,1.0 0.0873573151189519,0.009808240694445663 0.20728302681598137
1.0 0.019666285746179686,1.0 0.8739127181866965,1.0 0.3134196613815545
1.0 0.4065040082380968,1.0 0.32068907449899775,1.0 0.0006436567647652553
0.39924358853865566 0.5572904043839165,0.16134549064824222 0.007911493246417768,0.1295416226442233 0.6426682534372185
0.5045133417067494 0.614272899406306,0.024848543219341622 0.01128578806386611,1.0 0.9385722641693797
1.0 0.690928078937743,1.0 0.9169618992263968,0.8295420419261319 0.6400299424174135
1.0 1.0,0.16443660290635198 0.5462487321037537,1.0 0.6341435461313669
0.6008395046935169 1.0,0.5989776102850464 0.645653191068443,1.0 0.2436426033715947
1.0 0.7238194255639413,1.0 1.0,1.0 1.0
0.6979804091372979 0.04089856132149306,0.38842734155556813 1.0,0.8413209106025724 0.363019888256787
1.0 0.4939235317969366,1.0 0.45012170927195383,0.8145252136487424 0.0006802036509351457
1.0 1.0,0.7341645818248747 0.36173884087009156,0.7885725370349996 0.6230076394756314
1.0 0.06315418618195165,0.25710534769720156 2.8112935781954788e-05,0.0590028891952397 0.018469339416420746
1.0 1.0,0.8131887844966946 0.8347047670777961,0.8345219117920888 0.713512444830589
1.0 0.37565803363514905,0.2144250699855036 0.3242021359101808,1.0 1.0
1.0 0.6701656986225197,0.9379111285206141 1.0,1.0 0.054794180327685446
1.0 0.7363622024101987,0.9099525565101046 0.2233271053705737,0.09592571753870627 0.22104357870085514
1.0 1.0,1.0 0.01960878442614718,0.9509383921898688 0.009687980735003876
1.0 0.7183447122746635,1.0 0.09102545854336314,0.918831003039532 0.2968380140372423
1.0 0.794971942735897,1.0 0.00010080265787184072,1.0 0.7933778753658435
0.6594371160812562 1.0,1.0 0.014288266330996871,1.0 0.11385020131776732
0.04168824021813872 0.019894449128316116,0.34557631484262386 1.0,1.0 0.05772422138739233
0.920160512476081 1.0,1.0 0.8414901919643145,1.0 0.34718304858251303
0.38497130684863684 0.43716954100059097,0.26799343296004713 1.0,0.07740043930412234 0.2834960987320469
0.8324065625201142 1.0,0.5997358068277777 1.0,1.0 0.7666465228065906
0.23032265442969607 0.23336309156056181,1.0 1.0,1.0 0.6010911214413721
1.0 1.0,0.4614054806466628 0.79937604856775,1.0 1.0
1.0 1.0,0.3461079806199089 0.28829671468643026,1.0 0.13292046438162128
1.0 0.07908431813704653,1.0 0.015563995394106606,1.0 0.1496387251444156
1.0 0.15842917057433,1.0 1.0,1.0 0.2227390470286682
0.623041284617817 1.0,0.6867480176542062 0.06297957349202421,0.24056651850586447 0.6683971170523597
0.7393170169943429 0.7530448400643476,0.2738071490164876 0.22232675420133213,0.23371047959719427 0.12001551046496933
0.4063421238295114 0.03452309801223052,1.0 0.5890629685005453,0.22612798918201893 0.45358078291129383
0.4134736198204118 1.0,1.0 0.2175166192044402,0.08984793823271126 0.38239084777671845
1.0 0.1068183300881441,0.5080633906400175 0.003914064851869972,1.0 1.0
1.0 1.0,0.01408565074890461 1.0,1.0 0.028479693109322315
0.4359455385592069 1.0,1.0 0.3810403538059791,1.0 0.10491968947426947
0.7329735440725382 1.0,0.8583200609778665 1.0,1.0 0.02222296149096799
1.0 0.8428369903902171,0.44051338596294387 0.533926193741933,0.5958487913898014 0.04763963795118818
1.0 0.0005275029378012449,1.0 0.777545819705801,0.24860999981602133 1.0
0.9117186996527984 0.012387292053752705,1.0 0.8358683075829809,1.0 0.7511701612696777
0.18254892472347056 0.2276113884590966,0.3228908549630579 0.7549808879918604,0.1263432386203916 0.12480263594673546
0.5723778853215845 1.0,0.9659510516439433 0.4035723976916447,0.2710586342813262 0.0267118365575054
0.28005196743255617 0.053349010723376805,1.0 6.15170370839504e-05,1.0 1.0
0.8136345603208881 1.0,0.8723470182473904 0.07735374658711316,0.1420068175080265 0.11974452250821652
0.5938688564166347 1.0,1.0 0.2528743001657572,0.4537800165760099 0.0883388122570167
0.43980315202383097 1.0,0.7033310205694295 0.22321035449990798,0.885252190351439 4.4894946864188084e-05
1.0 0.3177007562403385,1.0 0.22026546297912344,0.7442787558466826 0.12959974948376177
1.0 1.0,1.0 0.040714458117250614,0.3582418105406414 0.06541109071849589
1.0 1.0,1.0 0.0668261132249644,0.6730604869182681 0.6255587392686273
0.024381648278361114 0.6992183004784109,0.3611074722162603 0.6451588644925625,0.5900089671076973 1.0
0.46539117598345076 0.3600153995642403,0.002984025421703694 0.2624992348523352,0.4074022684925903 0.19442431181873598
0.5971588886470653 0.00029857238564248115,0.8294640002324287 1.0,0.5091796138141031 0.7816413103856985
0.02835358869709792 1.0,1.0 0.09017596711711699,1.0 0.7442304536319149
0.9932374744110898 0.14217084057479154,1.0 0.00012226344349278937,0.7029574034882305 0.42916945835763304
0.21603443339219386 0.6778293609205628,0.9096022259690508 0.06093502169617293,0.9859252373621088 1.0
0.2465916511647525 0.19203024223300313,0.1625150045918363 1.0,1.0 0.9179216774702763
1.0 0.40925504754801245,1.0 0.31919641499705687,1.0 0.019256649511150668
0.8740092658833523 0.19459325066931132,0.18947827211899854 0.5308461595028631,1.0 0.09431189256923034
0.03267261026074409 1.0,0.26950351807422535 0.2276899439614806,1.0 1.0
0.03305228346403244 0.8560585684337141,0.20230374329886058 1.0,0.341550881404191 0.7834202644730119
1.0 0.81622582327963,1.0 0.03973738466583593,1.0 0.5380370371400222
1.0 0.6786773888286759,1.0 0.009544868401824171,0.18597169956957726 0.01874426299595953
1.0 0.8714214670030573,0.9084861865820867 1.0,0.003079887839180024 0.19192568745594057
1.0 0.1258223611239589,1.0 0.5575401892419618,1.0 0.4290219797513352
0.7949110639118346 0.09197211879176166,1.0 1.0,1.0 1.0
0.9437433472054639 0.03050711410518101,0.3622254029656844 0.42490193656561054,0.7294763420116617 1.0
1.0 0.2732897784052644,1.0 1.0,0.19172921321967193 0.9407936392060754
0.012306398302033682 0.01354503246280457,1.0 0.004973557916107729,1.0 8.273377008985035e-05
0.1657395416004882 0.005265885436767939,0.45212338988817297 0.49930115325030006,1.0 0.3106414778749468
0.47137258031768253 0.043898120358061954,1.0 0.7599181454132453,0.48418145529004813 0.5647948504728832
0.7205925103312464 0.0909980151219335,0.17704637997268882 1.0,1.0 0.602027368353871
1.0 0.005921345516282916,0.8728701671273286 1.0,0.0743765809495393 9.464743463782823e-06
0.5269670600487502 0.09455474831795951,1.0 0.4960282958188385,1.0 0.012937898447604696
0.027067457983726673 0.19108084876269868,0.2733363963252222 0.7065371114142144,0.5386333604721121 0.4652578357014859
0.22184148994816125 0.07363105543253089,1.0 0.6415901858911561,0.522310510782657 0.04907477374795309
1.0 0.4043864168520995,1.0 1.0030164550385118e-05,0.2846893565937739 0.621662204968372
0.3384360171427905 0.542099122635487,0.9837415626211918 0.3924329623024939,0.16898171255425537 0.5904890280374173
0.21128492216352662 0.1612178939050684,1.0 1.0,1.0 0.0006957449236560864
0.10162258880939526 0.390604746244686,1.0 1.0,0.14024890595041012 0.921613439891284
1.0 0.015538878432384998,0.017946985058856946 0.012240182489539807,1.0 8.203611412080045e-06
1.0 0.7120841345395418,1.0 0.12299919852499641,0.17493483670748777 1.0
1.0 1.0,1.0 0.0574648556098186,1.0 0.263586390366021
1.0 0.012010085211936986,0.06168467108231958 0.20805353243398264,1.0 0.2493250164593226
1.0 0.8373983065199824,0.5345236193362997 0.4368883764834541,0.04533223905018809 0.5251282723728685
0.04473863286128997 0.7957064419912357,1.0 0.01608984930941029,1.0 0.027797956305358376
0.7370051828918525 0.17950141389298363,0.6562586442195791 0.9592349983166457,0.9570503548448563 0.44914087846008427
1.0 1.0,0.04234932488107144 0.26421621923405086,0.27601356093371354 1.0
0.7673736354605402 0.05849138069595451,6.99922085704482e-05 1.0,1.0 0.5059045727225425
0.47015152849433145 0.2846148580581146,0.10805970964065767 0.5892197169593398,0.6682638850205311 0.15015626224178918
1.0 1.0,0.161874543781032 0.09705967052172099,1.0 0.026489499570804542
0.12331841398283383 0.08772246215125054,1.0 0.00755909412810346,0.9264366594331573 0.5400626694263155
1.0 1.0,0.42020297153549235 0.9362473960656623,0.008975844376350513 0.37107736668658764
0.34425640744725866 0.003775564508003797,0.38247930679405656 0.35743308556753595,1.0 0.32518980442670253
1.0 0.010392424352748966,0.08538400946379104 2.7276482127459e-05,0.20483181968700945 1.0
0.7292941392852895 0.34472327299743505,1.0 0.8186761527707961,1.0 0.0017820732200150837
0.051206182113387774 1.0,0.5873521706798188 0.37918680292651585,0.7555189112512375 0.8706085426980806
0.09169467661637727 0.2301736226470874,0.9019906320794846 0.12435369325645634,1.0 0.1302148453962094
0.1256902437118268 0.44469706691392713,0.58309240187235 0.36802394294611135,0.41220981232915793 0.7605581772155259
0.9836811724786052 0.6787988720774064,1.0 0.39750427608212957,0.49760005535117563 0.26878038222494244
0.16596839348868794 0.14907580122467862,0.7272661570233897 0.9056604375280493,0.38540118099569876 0.2570858552682986
0.7492138182899376 1.0,0.40303206923999246 0.5177570173568986,0.23529715634359516 0.12565025738596927
0.032904448623525734 0.8981198577248617,0.21426614953974843 0.16178591224331484,0.0363732897881985 0.2928085849090587
0.7681310185875428 1.0,1.0 6.390845527333266e-05,0.3761295535860557 0.033567486922822166
0.3474478200161208 0.33589251936432424,0.48943744188227467 0.003539031008620991,0.42275449863426134 0.22050011878704848
